年月,件数,平米単価,価格,専有面積,築年数,物件種別,販売状況,都道府県,地域
2020年3月,212,118.04,6782,57.45,18.34,中古MS,成約,東京都,都心3区
2020年4月,98,115.52,6643,57.51,19.06,中古MS,成約,東京都,都心3区
2020年5月,104,110.41,6208,56.22,20.85,中古MS,成約,東京都,都心3区
2020年6月,165,110.96,6512,58.69,18.67,中古MS,成約,東京都,都心3区
2020年7月,209,120.13,6800,56.6,19.01,中古MS,成約,東京都,都心3区
2020年8月,159,125.75,7691,61.16,17.29,中古MS,成約,東京都,都心3区
2020年9月,192,127.94,7881,61.6,16.53,中古MS,成約,東京都,都心3区
2020年10月,263,120.32,6939,57.68,18.32,中古MS,成約,東京都,都心3区
2020年11月,216,128.45,7911,61.59,16.1,中古MS,成約,東京都,都心3区
2020年12月,155,129,7594,58.87,17.31,中古MS,成約,東京都,都心3区
2021年1月,200,132.09,8003,60.59,18.43,中古MS,成約,東京都,都心3区
2021年2月,243,120.57,6768,56.14,18.77,中古MS,成約,東京都,都心3区
2021年3月,259,133.31,8005,60.05,16.2,中古MS,成約,東京都,都心3区
2020年3月,449,62.44,3889,62.28,18.43,中古MS,成約,東京都,城東地区
2020年4月,180,62.09,4016,64.67,17.73,中古MS,成約,東京都,城東地区
2020年5月,190,61.69,3785,61.35,17.09,中古MS,成約,東京都,城東地区
2020年6月,383,60.52,3900,64.45,18.88,中古MS,成約,東京都,城東地区
2020年7月,381,64.14,4070,63.45,17.75,中古MS,成約,東京都,城東地区
2020年8月,357,63.46,4019,63.34,18.68,中古MS,成約,東京都,城東地区
2020年9月,392,64.26,4127,64.22,17.4,中古MS,成約,東京都,城東地区
2020年10月,424,63.31,3988,63,18.29,中古MS,成約,東京都,城東地区
2020年11月,444,65.87,4269,64.8,18.36,中古MS,成約,東京都,城東地区
2020年12月,287,64.6,4054,62.76,20.67,中古MS,成約,東京都,城東地区
2021年1月,408,68.65,4332,63.11,17.64,中古MS,成約,東京都,城東地区
2021年2月,408,68.07,4343,63.8,18.09,中古MS,成約,東京都,城東地区
2021年3月,484,68.99,4263,61.8,18.49,中古MS,成約,東京都,城東地区
2020年3月,402,82.13,5019,61.12,20.56,中古MS,成約,東京都,城南地区
2020年4月,149,78.37,4351,55.52,22,中古MS,成約,東京都,城南地区
2020年5月,189,81.58,4626,56.7,22.57,中古MS,成約,東京都,城南地区
2020年6月,306,81.28,5078,62.48,21.83,中古MS,成約,東京都,城南地区
2020年7月,312,82.03,5083,61.96,20.81,中古MS,成約,東京都,城南地区
2020年8月,318,80.3,4998,62.24,21.25,中古MS,成約,東京都,城南地区
2020年9月,322,80.59,4953,61.46,21.54,中古MS,成約,東京都,城南地区
2020年10月,339,83.66,5056,60.44,20.46,中古MS,成約,東京都,城南地区
2020年11月,346,83.53,5185,62.08,22.58,中古MS,成約,東京都,城南地区
2020年12月,246,84.38,5290,62.7,22.25,中古MS,成約,東京都,城南地区
2021年1月,324,85.03,5193,61.07,22.43,中古MS,成約,東京都,城南地区
2021年2月,349,90.25,5466,60.57,20,中古MS,成約,東京都,城南地区
2021年3月,422,87.37,5276,60.39,22.01,中古MS,成約,東京都,城南地区
2020年3月,222,87.62,4798,54.76,23.44,中古MS,成約,東京都,城西地区
2020年4月,111,87.07,4149,47.65,27.47,中古MS,成約,東京都,城西地区
2020年5月,121,87.61,4493,51.28,23.08,中古MS,成約,東京都,城西地区
2020年6月,224,90.66,4970,54.82,23.67,中古MS,成約,東京都,城西地区
2020年7月,237,93.94,4909,52.26,25.2,中古MS,成約,東京都,城西地区
2020年8月,191,94.7,5430,57.33,22.62,中古MS,成約,東京都,城西地区
2020年9月,224,96.99,5159,53.19,22.37,中古MS,成約,東京都,城西地区
2020年10月,236,96.77,5372,55.51,23.4,中古MS,成約,東京都,城西地区
2020年11月,240,96.68,5373,55.58,23.8,中古MS,成約,東京都,城西地区
2020年12月,177,99.99,5595,55.95,22.32,中古MS,成約,東京都,城西地区
2021年1月,240,96.8,5342,55.19,22.81,中古MS,成約,東京都,城西地区
2021年2月,219,96.04,5224,54.39,23.79,中古MS,成約,東京都,城西地区
2021年3月,290,103.58,5694,54.97,21.88,中古MS,成約,東京都,城西地区
2020年3月,282,68.07,3843,56.46,20.89,中古MS,成約,東京都,城北地区
2020年4月,134,65.6,3679,56.09,24.61,中古MS,成約,東京都,城北地区
2020年5月,102,68.61,4010,58.44,22.74,中古MS,成約,東京都,城北地区
2020年6月,233,68.71,4087,59.49,20.58,中古MS,成約,東京都,城北地区
2020年7月,214,74.21,4259,57.39,18.92,中古MS,成約,東京都,城北地区
2020年8月,247,66.6,4082,61.29,20.92,中古MS,成約,東京都,城北地区
2020年9月,236,75.04,4335,57.76,21.14,中古MS,成約,東京都,城北地区
2020年10月,277,71.03,4053,57.06,22.88,中古MS,成約,東京都,城北地区
2020年11月,262,74.2,4426,59.64,20.38,中古MS,成約,東京都,城北地区
2020年12月,173,74.24,4344,58.51,21.28,中古MS,成約,東京都,城北地区
2021年1月,280,69,3998,57.94,23.11,中古MS,成約,東京都,城北地区
2021年2月,266,74.7,4392,58.79,21.05,中古MS,成約,東京都,城北地区
2021年3月,323,77.46,4417,57.03,20.28,中古MS,成約,東京都,城北地区
2020年3月,363,40.35,2745,68.03,22.81,中古MS,成約,東京都,多摩地区
2020年4月,140,40.05,2695,67.3,23.16,中古MS,成約,東京都,多摩地区
2020年5月,176,41.27,2734,66.24,21.97,中古MS,成約,東京都,多摩地区
2020年6月,304,42.31,2989,70.64,20.78,中古MS,成約,東京都,多摩地区
2020年7月,329,43.93,3001,68.3,21.22,中古MS,成約,東京都,多摩地区
2020年8月,304,42.16,2894,68.64,22.24,中古MS,成約,東京都,多摩地区
2020年9月,347,43.16,3004,69.6,21.03,中古MS,成約,東京都,多摩地区
2020年10月,358,43.82,3020,68.91,22.98,中古MS,成約,東京都,多摩地区
2020年11月,352,40.71,2728,66.99,23.79,中古MS,成約,東京都,多摩地区
2020年12月,242,43.47,2955,67.97,22.9,中古MS,成約,東京都,多摩地区
2021年1月,323,43.69,2975,68.1,22.56,中古MS,成約,東京都,多摩地区
2021年2月,339,42.8,2909,67.97,23.34,中古MS,成約,東京都,多摩地区
2021年3月,443,43.05,2921,67.85,23.35,中古MS,成約,東京都,多摩地区
2020年3月,111,41.33,2937,71.06,20.26,中古MS,成約,埼玉県,さいたま市
2020年4月,45,41.39,2808,67.83,22.37,中古MS,成約,埼玉県,さいたま市
2020年5月,44,44.76,3073,68.65,19.91,中古MS,成約,埼玉県,さいたま市
2020年6月,86,43.83,3101,70.74,21.44,中古MS,成約,埼玉県,さいたま市
2020年7月,98,41.05,2754,67.09,23.37,中古MS,成約,埼玉県,さいたま市
2020年8月,90,42.28,2901,68.61,21.73,中古MS,成約,埼玉県,さいたま市
2020年9月,106,41.57,2771,66.67,21.28,中古MS,成約,埼玉県,さいたま市
2020年10月,118,42.66,2904,68.09,20.04,中古MS,成約,埼玉県,さいたま市
2020年11月,96,44.66,3185,71.31,19.7,中古MS,成約,埼玉県,さいたま市
2020年12月,87,41.77,2902,69.48,22.36,中古MS,成約,埼玉県,さいたま市
2021年1月,98,46.83,3201,68.36,19.05,中古MS,成約,埼玉県,さいたま市
2021年2月,108,41.39,2861,69.12,22.48,中古MS,成約,埼玉県,さいたま市
2021年3月,134,43.16,2903,67.25,23.23,中古MS,成約,埼玉県,さいたま市
2020年3月,75,39.74,2434,61.25,23.5,中古MS,成約,埼玉県,中央地区
2020年4月,41,35.49,2311,65.12,27.83,中古MS,成約,埼玉県,中央地区
2020年5月,39,43.22,2692,62.28,21.8,中古MS,成約,埼玉県,中央地区
2020年6月,72,38.76,2637,68.04,20.47,中古MS,成約,埼玉県,中央地区
2020年7月,69,39.4,2646,67.16,21.19,中古MS,成約,埼玉県,中央地区
2020年8月,75,37.31,2371,63.54,22.61,中古MS,成約,埼玉県,中央地区
2020年9月,66,41.76,2639,63.19,21.71,中古MS,成約,埼玉県,中央地区
2020年10月,67,40.19,2692,66.98,22.41,中古MS,成約,埼玉県,中央地区
2020年11月,81,39.13,2610,66.7,21.28,中古MS,成約,埼玉県,中央地区
2020年12月,61,45.47,2809,61.78,20.72,中古MS,成約,埼玉県,中央地区
2021年1月,98,43.7,2785,63.73,19.99,中古MS,成約,埼玉県,中央地区
2021年2月,90,42.73,2890,67.65,20.4,中古MS,成約,埼玉県,中央地区
2021年3月,84,41.2,2623,63.67,21.23,中古MS,成約,埼玉県,中央地区
2020年3月,121,30.3,2037,67.23,24.11,中古MS,成約,埼玉県,西部地区
2020年4月,54,24.16,1499,62.06,29.08,中古MS,成約,埼玉県,西部地区
2020年5月,48,24.49,1607,65.63,28.37,中古MS,成約,埼玉県,西部地区
2020年6月,93,28.68,2083,72.63,23.6,中古MS,成約,埼玉県,西部地区
2020年7月,105,27.71,1829,66,25.45,中古MS,成約,埼玉県,西部地区
2020年8月,99,27.65,1880,68.01,27.54,中古MS,成約,埼玉県,西部地区
2020年9月,108,30.62,2148,70.16,24.27,中古MS,成約,埼玉県,西部地区
2020年10月,114,27.06,1877,69.36,27.82,中古MS,成約,埼玉県,西部地区
2020年11月,110,32.19,2071,64.35,25.12,中古MS,成約,埼玉県,西部地区
2020年12月,90,29.5,2033,68.9,25.62,中古MS,成約,埼玉県,西部地区
2021年1月,111,32.42,2266,69.89,24.65,中古MS,成約,埼玉県,西部地区
2021年2月,126,30.94,2098,67.8,25.45,中古MS,成約,埼玉県,西部地区
2021年3月,139,29.95,2069,69.09,27.88,中古MS,成約,埼玉県,西部地区
2020年3月,54,30.06,2164,71.98,21.05,中古MS,成約,埼玉県,東部地区
2020年4月,46,25.3,1661,65.64,25.81,中古MS,成約,埼玉県,東部地区
2020年5月,39,24.91,1728,69.38,24.8,中古MS,成約,埼玉県,東部地区
2020年6月,67,25.12,1709,68.06,25.52,中古MS,成約,埼玉県,東部地区
2020年7月,67,27.16,1893,69.71,24.35,中古MS,成約,埼玉県,東部地区
2020年8月,54,28.55,1967,68.89,23.33,中古MS,成約,埼玉県,東部地区
2020年9月,71,26.74,1892,70.76,26.43,中古MS,成約,埼玉県,東部地区
2020年10月,66,26.6,1920,72.16,24.42,中古MS,成約,埼玉県,東部地区
2020年11月,71,27.57,1983,71.93,23.87,中古MS,成約,埼玉県,東部地区
2020年12月,52,25.4,1731,68.15,27.26,中古MS,成約,埼玉県,東部地区
2021年1月,59,26.37,1815,68.82,25.57,中古MS,成約,埼玉県,東部地区
2021年2月,63,27.49,1912,69.55,25.22,中古MS,成約,埼玉県,東部地区
2021年3月,72,27.39,1917,69.99,25,中古MS,成約,埼玉県,東部地区
2020年3月,156,36.61,2605,71.16,23.04,中古MS,成約,千葉県,総武地区
2020年4月,73,28.92,2000,69.15,30.12,中古MS,成約,千葉県,総武地区
2020年5月,66,35.71,2530,70.87,25.87,中古MS,成約,千葉県,総武地区
2020年6月,136,37.2,2708,72.79,24.97,中古MS,成約,千葉県,総武地区
2020年7月,130,34.84,2601,74.66,23.68,中古MS,成約,千葉県,総武地区
2020年8月,117,35.17,2575,73.21,24.26,中古MS,成約,千葉県,総武地区
2020年9月,143,37.88,2747,72.52,24.24,中古MS,成約,千葉県,総武地区
2020年10月,155,35.72,2580,72.24,26.73,中古MS,成約,千葉県,総武地区
2020年11月,163,37.51,2785,74.25,25.2,中古MS,成約,千葉県,総武地区
2020年12月,116,35.71,2501,70.04,26.99,中古MS,成約,千葉県,総武地区
2021年1月,133,38.04,2731,71.8,23.94,中古MS,成約,千葉県,総武地区
2021年2月,154,38.62,2804,72.59,24.63,中古MS,成約,千葉県,総武地区
2021年3月,190,37.99,2776,73.06,24.61,中古MS,成約,千葉県,総武地区
2020年3月,103,28.73,1971,68.61,25.06,中古MS,成約,千葉県,常磐地区
2020年4月,52,25.74,1802,70.01,29.78,中古MS,成約,千葉県,常磐地区
2020年5月,48,23.36,1711,73.23,26.98,中古MS,成約,千葉県,常磐地区
2020年6月,82,29.58,2143,72.44,22.68,中古MS,成約,千葉県,常磐地区
2020年7月,85,26.39,1947,73.78,25.59,中古MS,成約,千葉県,常磐地区
2020年8月,81,30.79,2240,72.76,20.82,中古MS,成約,千葉県,常磐地区
2020年9月,97,30.73,2271,73.89,21.52,中古MS,成約,千葉県,常磐地区
2020年10月,95,30.91,2305,74.57,21.38,中古MS,成約,千葉県,常磐地区
2020年11月,95,30.15,2187,72.54,22.41,中古MS,成約,千葉県,常磐地区
2020年12月,68,33.04,2412,73,20.83,中古MS,成約,千葉県,常磐地区
2021年1月,95,28.81,2071,71.89,25.1,中古MS,成約,千葉県,常磐地区
2021年2月,88,29.41,2077,70.64,23.65,中古MS,成約,千葉県,常磐地区
2021年3月,110,30.43,2204,72.44,23.17,中古MS,成約,千葉県,常磐地区
2020年3月,125,25.89,1869,72.21,27.97,中古MS,成約,千葉県,千葉市
2020年4月,53,20.17,1402,69.5,31.9,中古MS,成約,千葉県,千葉市
2020年5月,57,20.27,1366,67.4,32.04,中古MS,成約,千葉県,千葉市
2020年6月,117,27.09,2015,74.37,26.18,中古MS,成約,千葉県,千葉市
2020年7月,102,23.81,1682,70.63,28.51,中古MS,成約,千葉県,千葉市
2020年8月,98,26.07,1938,74.31,30.11,中古MS,成約,千葉県,千葉市
2020年9月,118,28.37,2084,73.46,25.97,中古MS,成約,千葉県,千葉市
2020年10月,123,26.34,1895,71.95,28.31,中古MS,成約,千葉県,千葉市
2020年11月,119,27.94,2042,73.1,26.58,中古MS,成約,千葉県,千葉市
2020年12月,68,26.42,1900,71.93,29.68,中古MS,成約,千葉県,千葉市
2021年1月,122,27.36,1954,71.42,27.95,中古MS,成約,千葉県,千葉市
2021年2月,129,30.78,2360,76.67,26.79,中古MS,成約,千葉県,千葉市
2021年3月,129,29.29,2122,72.45,27.13,中古MS,成約,千葉県,千葉市
2020年3月,418,44.42,2978,67.04,23.31,中古MS,成約,神奈川県,横浜市
2020年4月,185,44.73,2984,66.72,24.47,中古MS,成約,神奈川県,横浜市
2020年5月,172,42.04,2816,66.99,25.07,中古MS,成約,神奈川県,横浜市
2020年6月,376,46.35,3157,68.11,22.09,中古MS,成約,神奈川県,横浜市
2020年7月,351,49.54,3225,65.09,23.25,中古MS,成約,神奈川県,横浜市
2020年8月,382,46.71,3277,70.16,21.27,中古MS,成約,神奈川県,横浜市
2020年9月,413,47.26,3253,68.83,22.78,中古MS,成約,神奈川県,横浜市
2020年10月,447,45.9,3078,67.05,23.72,中古MS,成約,神奈川県,横浜市
2020年11月,464,47.72,3222,67.51,23.08,中古MS,成約,神奈川県,横浜市
2020年12月,329,49.29,3224,65.42,23.82,中古MS,成約,神奈川県,横浜市
2021年1月,446,48.35,3317,68.61,23.63,中古MS,成約,神奈川県,横浜市
2021年2月,440,49.13,3347,68.14,23.29,中古MS,成約,神奈川県,横浜市
2021年3月,506,50,3390,67.81,23.09,中古MS,成約,神奈川県,横浜市
2020年3月,200,55.39,3710,66.99,18.4,中古MS,成約,神奈川県,川崎市
2020年4月,93,51.57,3325,64.49,20.22,中古MS,成約,神奈川県,川崎市
2020年5月,118,51.23,3409,66.54,22.53,中古MS,成約,神奈川県,川崎市
2020年6月,152,53.56,3550,66.29,19.13,中古MS,成約,神奈川県,川崎市
2020年7月,171,55.08,3753,68.14,17.42,中古MS,成約,神奈川県,川崎市
2020年8月,178,54.21,3708,68.4,19.01,中古MS,成約,神奈川県,川崎市
2020年9月,180,53.23,3624,68.07,20.44,中古MS,成約,神奈川県,川崎市
2020年10月,223,54.22,3702,68.27,19.85,中古MS,成約,神奈川県,川崎市
2020年11月,222,55.71,3912,70.21,18.97,中古MS,成約,神奈川県,川崎市
2020年12月,144,55.74,3776,67.74,19.58,中古MS,成約,神奈川県,川崎市
2021年1月,188,58.24,4045,69.45,16.4,中古MS,成約,神奈川県,川崎市
2021年2月,214,58,3965,68.35,18.8,中古MS,成約,神奈川県,川崎市
2021年3月,211,55.09,3819,69.31,20.97,中古MS,成約,神奈川県,川崎市
2020年3月,55,31.13,1950,62.65,24.7,中古MS,成約,神奈川県,相模原市
2020年4月,20,22.21,1167,52.54,27.44,中古MS,成約,神奈川県,相模原市
2020年5月,27,31.91,1678,52.6,22.69,中古MS,成約,神奈川県,相模原市
2020年6月,35,30.27,1751,57.86,25.22,中古MS,成約,神奈川県,相模原市
2020年7月,38,29.62,1849,62.41,26.42,中古MS,成約,神奈川県,相模原市
2020年8月,42,36.99,2426,65.57,19.19,中古MS,成約,神奈川県,相模原市
2020年9月,46,36.53,2418,66.19,19.44,中古MS,成約,神奈川県,相模原市
2020年10月,49,35.52,2156,60.68,24.51,中古MS,成約,神奈川県,相模原市
2020年11月,69,31.06,1994,64.2,24.78,中古MS,成約,神奈川県,相模原市
2020年12月,35,34.64,2189,63.19,23.45,中古MS,成約,神奈川県,相模原市
2021年1月,59,29.41,1831,62.24,27.06,中古MS,成約,神奈川県,相模原市
2021年2月,54,34.35,2082,60.61,25.54,中古MS,成約,神奈川県,相模原市
2021年3月,69,38.19,2472,64.73,21.33,中古MS,成約,神奈川県,相模原市
2020年3月,67,27.04,1894,70.06,24.37,中古MS,成約,神奈川県,県央地区
2020年4月,31,26.1,1632,62.52,25.16,中古MS,成約,神奈川県,県央地区
2020年5月,29,20.89,1399,66.94,28.86,中古MS,成約,神奈川県,県央地区
2020年6月,52,28.7,1982,69.05,23.77,中古MS,成約,神奈川県,県央地区
2020年7月,51,25.98,1690,65.04,25.95,中古MS,成約,神奈川県,県央地区
2020年8月,45,27.11,1719,63.4,24.14,中古MS,成約,神奈川県,県央地区
2020年9月,49,22.45,1441,64.18,28.9,中古MS,成約,神奈川県,県央地区
2020年10月,58,24.09,1605,66.63,26.62,中古MS,成約,神奈川県,県央地区
2020年11月,52,22.21,1472,66.28,27.37,中古MS,成約,神奈川県,県央地区
2020年12月,36,25.45,1708,67.11,26.87,中古MS,成約,神奈川県,県央地区
2021年1月,54,28.5,1901,66.69,23.65,中古MS,成約,神奈川県,県央地区
2021年2月,49,31.03,2170,69.94,21.65,中古MS,成約,神奈川県,県央地区
2021年3月,86,27.55,1762,63.97,25.5,中古MS,成約,神奈川県,県央地区
2020年3月,104,34.62,2412,69.68,23.62,中古MS,成約,神奈川県,湘南地区
2020年4月,55,33.33,2347,70.42,24.33,中古MS,成約,神奈川県,湘南地区
2020年5月,55,33.37,2394,71.75,23.8,中古MS,成約,神奈川県,湘南地区
2020年6月,111,37.92,2796,73.75,21.41,中古MS,成約,神奈川県,湘南地区
2020年7月,105,38.25,2889,75.53,22.39,中古MS,成約,神奈川県,湘南地区
2020年8月,114,36.53,2600,71.17,20.73,中古MS,成約,神奈川県,湘南地区
2020年9月,115,37.11,2670,71.94,22.73,中古MS,成約,神奈川県,湘南地区
2020年10月,112,36.73,2657,72.34,23.86,中古MS,成約,神奈川県,湘南地区
2020年11月,116,33.1,2383,71.98,27.07,中古MS,成約,神奈川県,湘南地区
2020年12月,86,36,2540,70.57,25.46,中古MS,成約,神奈川県,湘南地区
2021年1月,115,39.04,2815,72.11,23.18,中古MS,成約,神奈川県,湘南地区
2021年2月,124,36.4,2601,71.45,23.06,中古MS,成約,神奈川県,湘南地区
2021年3月,138,35.94,2575,71.65,24,中古MS,成約,神奈川県,湘南地区
2020年3月,1146,135.67,7617,56.14,21.77,中古MS,新規登録,東京都,都心3区
2020年4月,972,137.48,7542,54.86,24.07,中古MS,新規登録,東京都,都心3区
2020年5月,922,130.35,7101,54.48,23.25,中古MS,新規登録,東京都,都心3区
2020年6月,1089,134.59,7309,54.31,23.22,中古MS,新規登録,東京都,都心3区
2020年7月,1018,141.88,7760,54.7,22.6,中古MS,新規登録,東京都,都心3区
2020年8月,963,134.83,7366,54.63,22.67,中古MS,新規登録,東京都,都心3区
2020年9月,1033,139.79,7613,54.46,21.95,中古MS,新規登録,東京都,都心3区
2020年10月,1081,137.84,7720,56.01,23.19,中古MS,新規登録,東京都,都心3区
2020年11月,912,136.3,7296,53.53,22.75,中古MS,新規登録,東京都,都心3区
2020年12月,850,139.59,7468,53.5,23.11,中古MS,新規登録,東京都,都心3区
2021年1月,959,139.67,7456,53.38,22.68,中古MS,新規登録,東京都,都心3区
2021年2月,954,138.94,7367,53.02,22.36,中古MS,新規登録,東京都,都心3区
2021年3月,971,151.39,8353,55.18,22.35,中古MS,新規登録,東京都,都心3区
2020年3月,2060,63.54,3485,54.85,22.94,中古MS,新規登録,東京都,城東地区
2020年4月,1771,62.48,3307,52.93,23.29,中古MS,新規登録,東京都,城東地区
2020年5月,1871,61.8,3253,52.64,23.97,中古MS,新規登録,東京都,城東地区
2020年6月,2023,62.93,3345,53.16,23.36,中古MS,新規登録,東京都,城東地区
2020年7月,1897,62.56,3304,52.81,23.61,中古MS,新規登録,東京都,城東地区
2020年8月,1718,62.03,3351,54.02,23.05,中古MS,新規登録,東京都,城東地区
2020年9月,1680,62.71,3271,52.17,22.83,中古MS,新規登録,東京都,城東地区
2020年10月,1913,63.41,3349,52.82,23.42,中古MS,新規登録,東京都,城東地区
2020年11月,1675,65.53,3466,52.89,22.94,中古MS,新規登録,東京都,城東地区
2020年12月,1489,64.8,3471,53.57,23.48,中古MS,新規登録,東京都,城東地区
2021年1月,1630,65.19,3498,53.65,23.49,中古MS,新規登録,東京都,城東地区
2021年2月,1635,65.56,3444,52.54,23.46,中古MS,新規登録,東京都,城東地区
2021年3月,1700,66.37,3560,53.65,23.81,中古MS,新規登録,東京都,城東地区
2020年3月,1748,79.99,4033,50.42,28,中古MS,新規登録,東京都,城南地区
2020年4月,1504,80.94,3986,49.24,28.88,中古MS,新規登録,東京都,城南地区
2020年5月,1432,76.08,3747,49.26,29.99,中古MS,新規登録,東京都,城南地区
2020年6月,1612,79.21,3959,49.98,28.54,中古MS,新規登録,東京都,城南地区
2020年7月,1467,81.65,4130,50.59,28.11,中古MS,新規登録,東京都,城南地区
2020年8月,1367,78.79,4019,51,29.67,中古MS,新規登録,東京都,城南地区
2020年9月,1406,79.63,3903,49.02,29.25,中古MS,新規登録,東京都,城南地区
2020年10月,1525,84.18,4145,49.23,27.61,中古MS,新規登録,東京都,城南地区
2020年11月,1444,83.93,4200,50.04,27.79,中古MS,新規登録,東京都,城南地区
2020年12月,1202,82.77,4166,50.33,28.11,中古MS,新規登録,東京都,城南地区
2021年1月,1338,83.43,4163,49.9,29,中古MS,新規登録,東京都,城南地区
2021年2月,1407,85.39,4106,48.09,27.15,中古MS,新規登録,東京都,城南地区
2021年3月,1375,88.67,4385,49.45,27.92,中古MS,新規登録,東京都,城南地区
2020年3月,1615,95.29,4336,45.51,29.39,中古MS,新規登録,東京都,城西地区
2020年4月,1492,96.55,4458,46.17,29.69,中古MS,新規登録,東京都,城西地区
2020年5月,1414,92.98,4227,45.46,30.48,中古MS,新規登録,東京都,城西地区
2020年6月,1562,93.62,4377,46.75,29.87,中古MS,新規登録,東京都,城西地区
2020年7月,1516,96.1,4468,46.5,30.17,中古MS,新規登録,東京都,城西地区
2020年8月,1388,96.53,4341,44.97,29.69,中古MS,新規登録,東京都,城西地区
2020年9月,1469,98.98,4557,46.04,29.38,中古MS,新規登録,東京都,城西地区
2020年10月,1509,98.9,4703,47.55,29.62,中古MS,新規登録,東京都,城西地区
2020年11月,1327,98.77,4477,45.33,30.25,中古MS,新規登録,東京都,城西地区
2020年12月,1159,97.19,4448,45.76,29.77,中古MS,新規登録,東京都,城西地区
2021年1月,1329,96.8,4418,45.64,30.82,中古MS,新規登録,東京都,城西地区
2021年2月,1342,103.78,4540,43.74,29.2,中古MS,新規登録,東京都,城西地区
2021年3月,1384,102.35,4553,44.49,28.73,中古MS,新規登録,東京都,城西地区
2020年3月,1572,66.39,3059,46.08,26.91,中古MS,新規登録,東京都,城北地区
2020年4月,1371,65.36,3017,46.15,27.84,中古MS,新規登録,東京都,城北地区
2020年5月,1364,66.21,3070,46.37,27.56,中古MS,新規登録,東京都,城北地区
2020年6月,1540,66.48,3034,45.64,27.06,中古MS,新規登録,東京都,城北地区
2020年7月,1402,66.28,3148,47.49,27.59,中古MS,新規登録,東京都,城北地区
2020年8月,1276,67.23,3118,46.37,27.57,中古MS,新規登録,東京都,城北地区
2020年9月,1335,66.88,3015,45.08,27.33,中古MS,新規登録,東京都,城北地区
2020年10月,1374,70.07,3245,46.31,26.2,中古MS,新規登録,東京都,城北地区
2020年11月,1284,69.26,3139,45.31,26.93,中古MS,新規登録,東京都,城北地区
2020年12月,1121,68.25,3020,44.26,27.24,中古MS,新規登録,東京都,城北地区
2021年1月,1289,70.64,3188,45.13,27.24,中古MS,新規登録,東京都,城北地区
2021年2月,1260,73.35,3278,44.69,26.04,中古MS,新規登録,東京都,城北地区
2021年3月,1376,73.76,3242,43.95,26.35,中古MS,新規登録,東京都,城北地区
2020年3月,1295,41.74,2642,63.31,26.56,中古MS,新規登録,東京都,多摩地区
2020年4月,1097,40.22,2563,63.72,26.61,中古MS,新規登録,東京都,多摩地区
2020年5月,1079,41.97,2624,62.53,27.06,中古MS,新規登録,東京都,多摩地区
2020年6月,1184,42.44,2644,62.31,26.66,中古MS,新規登録,東京都,多摩地区
2020年7月,1225,41.49,2587,62.36,26.53,中古MS,新規登録,東京都,多摩地区
2020年8月,1064,41.28,2514,60.89,27.42,中古MS,新規登録,東京都,多摩地区
2020年9月,1084,42.06,2574,61.19,26.98,中古MS,新規登録,東京都,多摩地区
2020年10月,1085,41.41,2543,61.41,26.91,中古MS,新規登録,東京都,多摩地区
2020年11月,1055,42.08,2450,58.23,27.59,中古MS,新規登録,東京都,多摩地区
2020年12月,874,42.59,2584,60.67,26.82,中古MS,新規登録,東京都,多摩地区
2021年1月,959,41.5,2546,61.35,27.16,中古MS,新規登録,東京都,多摩地区
2021年2月,932,44.39,2666,60.07,26.21,中古MS,新規登録,東京都,多摩地区
2021年3月,1000,44.69,2635,58.96,26.8,中古MS,新規登録,東京都,多摩地区
2020年3月,436,40.75,2646,64.92,25.01,中古MS,新規登録,埼玉県,さいたま市
2020年4月,365,38.01,2454,64.57,26.63,中古MS,新規登録,埼玉県,さいたま市
2020年5月,390,41.16,2645,64.27,25.01,中古MS,新規登録,埼玉県,さいたま市
2020年6月,476,38.7,2527,65.31,26.19,中古MS,新規登録,埼玉県,さいたま市
2020年7月,416,40.01,2690,67.24,24.66,中古MS,新規登録,埼玉県,さいたま市
2020年8月,406,39.42,2549,64.67,25.72,中古MS,新規登録,埼玉県,さいたま市
2020年9月,491,38.65,2559,66.21,26.16,中古MS,新規登録,埼玉県,さいたま市
2020年10月,410,40.03,2600,64.95,26.22,中古MS,新規登録,埼玉県,さいたま市
2020年11月,372,39.36,2574,65.4,25.55,中古MS,新規登録,埼玉県,さいたま市
2020年12月,346,42.58,2789,65.5,24.73,中古MS,新規登録,埼玉県,さいたま市
2021年1月,374,40.63,2682,66.01,25.5,中古MS,新規登録,埼玉県,さいたま市
2021年2月,332,41.15,2709,65.83,25.62,中古MS,新規登録,埼玉県,さいたま市
2021年3月,382,43.37,2888,66.59,25.9,中古MS,新規登録,埼玉県,さいたま市
2020年3月,413,40.36,2500,61.95,25.96,中古MS,新規登録,埼玉県,中央地区
2020年4月,331,40.95,2498,61,26.79,中古MS,新規登録,埼玉県,中央地区
2020年5月,351,40.67,2422,59.55,26.73,中古MS,新規登録,埼玉県,中央地区
2020年6月,406,39.17,2453,62.61,26.73,中古MS,新規登録,埼玉県,中央地区
2020年7月,359,40.17,2458,61.18,27.21,中古MS,新規登録,埼玉県,中央地区
2020年8月,404,39.38,2383,60.52,27.99,中古MS,新規登録,埼玉県,中央地区
2020年9月,423,41.18,2546,61.81,26.9,中古MS,新規登録,埼玉県,中央地区
2020年10月,422,41.35,2580,62.39,25.96,中古MS,新規登録,埼玉県,中央地区
